,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.003801584243774414,0.0015963342910665804,0.004008197784423828,0.0008894640055252716,entropy,2,2,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 2}",0.8378378378378378,0.8571428571428571,0.8611111111111112,0.9117647058823529,0.8064516129032258,0.8548616249754769,0.0343963931574187,37
1,0.0045888423919677734,0.0010228368116748457,0.0038022994995117188,0.0007450821147850161,entropy,2,5,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 5}",0.8378378378378378,0.8571428571428571,0.8611111111111112,0.9117647058823529,0.8064516129032258,0.8548616249754769,0.0343963931574187,37
2,0.0032009124755859376,0.0004016754518967498,0.0033994674682617187,0.0004922460818628665,entropy,2,10,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 10}",0.8378378378378378,0.8571428571428571,0.8611111111111112,0.9117647058823529,0.8064516129032258,0.8548616249754769,0.0343963931574187,37
3,0.0034032344818115236,0.0004931846854234282,0.0037988662719726563,0.0007466780042353771,entropy,2,15,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 15}",0.8378378378378378,0.8571428571428571,0.8611111111111112,0.9117647058823529,0.8064516129032258,0.8548616249754769,0.0343963931574187,37
4,0.003802061080932617,0.0007528626794127773,0.004197502136230468,0.0003981038186635457,entropy,3,2,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 2}",0.9032258064516129,0.9642857142857143,1.0,0.90625,0.8157894736842105,0.9179101988843076,0.06272106186998555,12
5,0.0036000728607177733,0.0004914280004738655,0.004999542236328125,0.001551329222579707,entropy,3,5,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 5}",0.9032258064516129,0.9642857142857143,1.0,0.90625,0.8285714285714286,0.9204665898617511,0.0586340442097739,8
6,0.0033999919891357423,0.0007982767679922447,0.004404258728027344,0.0004847961059585139,entropy,3,10,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 10}",0.9032258064516129,0.9642857142857143,1.0,0.90625,0.8285714285714286,0.9204665898617511,0.0586340442097739,8
7,0.003196096420288086,0.00040317075479327514,0.003801918029785156,0.0007479741836524438,entropy,3,15,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 15}",0.9032258064516129,0.9642857142857143,1.0,0.90625,0.8285714285714286,0.9204665898617511,0.0586340442097739,8
8,0.004004716873168945,0.0006430397039518602,0.00439453125,0.0010148343658310497,entropy,5,2,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2}",0.8857142857142857,0.9655172413793104,0.9375,0.9375,0.8378378378378378,0.9128138729862869,0.04550219390477646,18
9,0.003805398941040039,0.0007502560908295372,0.0037946701049804688,0.0009727106952134336,entropy,5,5,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5}",0.9032258064516129,0.9655172413793104,0.9354838709677419,0.9375,0.8285714285714286,0.9140596694740187,0.04707852829434389,17
10,0.0034000396728515623,0.0004891423691839603,0.0031999588012695313,0.0003992804877604386,entropy,5,10,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 10}",0.90625,0.9666666666666667,0.9375,0.9375,0.8285714285714286,0.915297619047619,0.04738768198201001,16
11,0.0034042835235595704,0.000496050801094995,0.0031961441040039063,0.0004029535702664612,entropy,5,15,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 15}",0.8611111111111112,0.9642857142857143,0.9375,0.9354838709677419,0.8285714285714286,0.9053904249871992,0.051511379806224576,23
12,0.0036011219024658205,0.0004918724807596768,0.004201459884643555,0.0009803868731158537,entropy,10,2,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2}",0.9032258064516129,0.9642857142857143,0.9032258064516129,0.9090909090909091,0.8823529411764706,0.912436235491264,0.02747445454599761,20
13,0.005826807022094727,0.0011420125164234344,0.005206108093261719,0.0020441160224448766,entropy,10,5,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 5}",0.90625,0.9615384615384616,0.9375,0.9090909090909091,0.9032258064516129,0.9235210354161968,0.022623658716632265,6
14,0.004101467132568359,0.0013647595565095404,0.004197931289672852,0.0011668993136421187,entropy,10,10,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 10}",0.8857142857142857,0.9629629629629629,0.9375,0.9375,0.8529411764705882,0.9153236850295674,0.040053395849225785,14
15,0.003595876693725586,0.0004871479214638039,0.004203987121582031,0.0009859218013499736,entropy,10,15,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 15}",0.8857142857142857,0.9642857142857143,0.9375,0.9354838709677419,0.8285714285714286,0.9103110599078341,0.048109335532606795,22
16,0.0043942928314208984,0.0013505029607548413,0.004599666595458985,0.0016230793898396147,entropy,15,2,"{'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2}",0.8787878787878788,0.9642857142857143,0.9032258064516129,0.9090909090909091,0.8333333333333334,0.8977447283898897,0.04264896434187411,29
17,0.0038013458251953125,0.0011661417759835956,0.004397392272949219,0.0012014715245837779,entropy,15,5,"{'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 5}",0.9354838709677419,0.9615384615384616,0.9354838709677419,0.9090909090909091,0.9032258064516129,0.9289645838032934,0.020992890830487432,4
18,0.0047989368438720705,0.0014688107284641283,0.005203723907470703,0.0020385773060541132,entropy,15,10,"{'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 10}",0.8857142857142857,0.9629629629629629,0.9375,0.9375,0.8529411764705882,0.9153236850295674,0.040053395849225785,14
19,0.004805803298950195,0.0011688736793900516,0.005396366119384766,0.002865320419302836,entropy,15,15,"{'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 15}",0.8611111111111112,0.9642857142857143,0.9375,0.9354838709677419,0.8285714285714286,0.9053904249871992,0.051511379806224576,23
20,0.0035997867584228516,0.0004874967395311488,0.003804302215576172,0.00040217161115692037,gini,2,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2}",0.8611111111111112,0.8529411764705882,0.8611111111111112,0.9117647058823529,0.8181818181818182,0.8610219845513963,0.029917951029341548,33
21,0.0038012027740478515,0.0007491242209111457,0.0042002201080322266,0.0019382656734174232,gini,2,5,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5}",0.8611111111111112,0.8529411764705882,0.8611111111111112,0.9117647058823529,0.8181818181818182,0.8610219845513963,0.029917951029341548,33
22,0.003200387954711914,0.00040156890467891223,0.0032007694244384766,0.00039828207204822,gini,2,10,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 10}",0.8611111111111112,0.8529411764705882,0.8611111111111112,0.9117647058823529,0.8181818181818182,0.8610219845513963,0.029917951029341548,33
23,0.0055977821350097655,0.0018557956889453638,0.01560072898864746,0.014963885537834551,gini,2,15,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 15}",0.8611111111111112,0.8529411764705882,0.8611111111111112,0.9117647058823529,0.8181818181818182,0.8610219845513963,0.029917951029341548,33
24,0.0037993907928466795,0.0007473607893489785,0.0040012836456298825,0.0019987139654946274,gini,3,2,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 2}",0.8611111111111112,0.9642857142857143,0.9375,0.9090909090909091,0.8285714285714286,0.9001118326118327,0.04946892287486596,27
25,0.0037986278533935548,0.0007525741511807592,0.005605459213256836,0.004281701330452252,gini,3,5,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 5}",0.8611111111111112,0.9642857142857143,0.9375,0.9090909090909091,0.8055555555555556,0.8955086580086581,0.05648501693429824,32
